BUA22CD,BUA22NM,RGN22CD,RGN22NM,bua_01_pop,bua_11_pop,bua_21_pop,geographic_constraint,bua_perm_rate_01_11,bua_perm_rate_01_21
E63000864,Accrington,E12000002,North West,34326,34330,34563,1.1116404637128792,0.005116097355431904,0.008610896253156516
E63003977,Letchworth,E12000006,East of England,32932,33249,34321,1.0402532790592491,0.00896165370480788,0.017237129127790064
E63005334,Epsom,E12000008,South East,28275,32978,34004,1.0838933448948624,0.004884397953711328,0.010040947113054666
E63000298,Billingham,E12000001,North East,35290,36052,33810,1.0484091530677364,0.005516270289342337,0.008682725345593287
E63004772,Didcot,E12000008,South East,28813,30896,33796,1.0366454154356501,0.01099514522961875,0.030372126010751333
E63006541,Chichester,E12000008,South East,28939,32323,33763,1.053565487412665,0.01789023502171492,0.029684202615777106
E63004701,Billericay,E12000006,East of England,32469,32904,33757,1.0888393961890621,0.005705422783263333,0.0104193725126193
E63000551,Morecambe,E12000002,North West,34714,33930,33618,1.031251401156795,0.003849465537069461,0.009420858998275362
E63002772,Bilston (Wolverhampton),E12000005,West Midlands,25718,28081,33603,1.084667900210553,0.00373977107196676,0.00737606629896368
E63001685,Winsford,E12000002,North West,29683,30481,33560,1.0706064985814463,0.0013386760747776583,0.010161360003849203
E63000746,Nelson (Pendle),E12000002,North West,28662,29135,33479,1.084667900210553,0.008728486912871997,0.016784689852993907
E63001151,Radcliffe,E12000002,North West,30039,31088,33408,1.157675387821255,0.004196934798015591,0.007375088589652729
E63004669,Loughton,E12000006,East of England,30340,31106,33363,1.1611833010782417,0.009847241509910367,0.02406261835626815
E63004175,Dunstable,E12000006,East of England,30436,32622,33293,1.021085413794864,0.0018096754170765172,0.011820158420398515
E63004647,Abingdon-on-Thames,E12000008,South East,32232,33130,33168,1.051977239037919,0.014180693579260379,0.029203163489709725
E63005206,Whitstable,E12000008,South East,30979,32893,33057,1.122274476271911,0.014004039965730384,0.025355745033164945
E63005598,Redhill (Reigate and Banstead),E12000008,South East,28084,32959,33047,1.0949115426727367,0.009904333472726195,0.020945354031075135
E63005008,Caversham,E12000008,South East,30953,31734,33041,1.0830715910321673,0.006265039462234356,0.0096932052761399
E63000957,Pontefract,E12000003,Yorkshire and The Humber,28250,29305,32975,1.0547937600621773,0.008670039325312613,0.0142529253622907
E63003403,St Neots,E12000006,East of England,31568,35375,32750,1.084064255444959,0.011105854273339714,0.019660445343985165
E63000937,Brighouse,E12000003,Yorkshire and The Humber,31589,32694,32647,1.13716358910489,0.01692795608841231,0.026034998597988787
E63006230,Chandler's Ford,E12000008,South East,31260,33020,32617,1.1832919181161994,0.00907106873970578,0.0153661043659265
E63001715,Congleton,E12000002,North West,29992,30932,32607,1.1085791710291308,0.002337363072423578,0.014032526159800125
E63002522,Lichfield,E12000005,West Midlands,30025,32219,32567,1.027866605756053,0.009242132101518998,0.01810944988088461
E63006275,Burgess Hill,E12000008,South East,30297,31714,32485,1.0668373606443697,0.010291751227431737,0.022223476977648277
E63000873,Morley (Leeds),E12000003,Yorkshire and The Humber,27430,29622,32254,1.0725373976855772,0.005338530382071834,0.008831292280980535
E63002913,Brierley Hill,E12000005,West Midlands,30450,31708,32254,1.1111111111111112,0.00504541305717219,0.009060951073054243
E63002830,Sedgley,E12000005,West Midlands,31853,31815,32203,1.1358104819081616,0.00504541305717219,0.009060951073054243
E63000807,Fulwood,E12000002,North West,31987,31136,32152,1.0755441741357235,0.00591361318011743,0.014923044187691508
E63004759,Rayleigh,E12000006,East of England,29779,31720,32012,1.0634338278300632,0.00926742015761095,0.0157092492741601
E63005007,Windsor,E12000008,South East,27987,30761,31901,1.0556565597325671,0.010878899520371521,0.02269473775541619
E63002275,Spalding,E12000004,East Midlands,25919,31511,31862,1.0436597669159855,0.02231419980182648,0.04653267486026397
E63003267,Rushden,E12000004,East Midlands,27175,30697,31683,1.0497066995986415,0.004918036429223089,0.008070087273222698
E63005982,Barnstaple,E12000009,South West,29485,31218,31587,1.0758196721311475,0.026051243137358272,0.04992386461411445
E63001210,Prestwich,E12000002,North West,28769,29727,31335,1.0295312923327011,0.004196934798015592,0.007375088589652729
E63001118,Heywood,E12000002,North West,29240,29070,30900,1.1081301761343754,0.005400950601489601,0.008635718687789102
E63002915,Bedworth,E12000005,West Midlands,28553,30052,30758,1.0543518372080762,0.004352918940255405,0.008891239983521688
E63000316,Eston,E12000001,North East,33952,30677,30711,1.0760953112990008,0.003679958600465745,0.007050858177845499
E63005285,Ewell,E12000008,South East,26018,28938,30632,1.077731375454668,0.004884397953711328,0.010040947113054666
E63004326,Harpenden,E12000006,East of England,27686,29448,30586,1.0376276555076185,0.011448527214200728,0.02454016531097113
E63004883,Stanford-le-Hope,E12000006,East of England,30339,28971,30443,1.0429703796412182,0.0032759639858599005,0.006346351284348026
E63000726,Beverley,E12000003,Yorkshire and The Humber,28897,30333,30380,1.0709655600022545,0.015010604095003552,0.026792382595200854
E63001468,Heswall,E12000002,North West,30858,30674,30301,1.1525384659713018,0.004893777331483672,0.009268565915386448
E63000053,Cramlington,E12000001,North East,30398,29413,30078,1.1229646266142617,0.0020844539386084804,0.012516681214160158
E63003502,Stratford-upon-Avon,E12000005,West Midlands,25440,29333,29946,1.0677721248665286,0.012079731388084979,0.0317847932148986
E63001149,Cleethorpes,E12000003,Yorkshire and The Humber,31853,31365,29668,1.0469709227620996,0.005153863957969815,0.010572502288929716
E63004405,Witney,E12000008,South East,25982,27522,29630,1.054914141710133,0.018968154463402376,0.03778486657579954
E63001152,Ormskirk,E12000002,North West,25576,26028,29617,1.0408234069619522,0.008534942516008785,0.016866891804609794
E63002574,Great Yarmouth,E12000006,East of England,25028,28759,29595,1.1241899219679936,0.011452483206695297,0.02104393789230261
E63000400,Kendal,E12000002,North West,28572,29732,29584,1.0942515319521449,0.011210837598018272,0.020243455413177375
E63001825,Newark-on-Trent,E12000004,East Midlands,25376,27700,29556,1.070528967254408,0.014590265260873822,0.025336762595441643
E63004358,Hertford,E12000006,East of England,26044,28066,29418,1.1808699074985238,0.009790389724249707,0.020256234691036733
E63000161,Consett,E12000001,North East,25919,30180,29273,1.2049900765523107,0.0016529757496477077,0.00761400714453572
E63003709,Haverhill,E12000006,East of England,24673,29275,29018,1.0717347813661044,0,0.002415893288787908
